Time Started : 2024-07-31 09:03:17.8276

00:00:00.731 - Paris.Engine.EpicHelper.EpicLogMessage : INFO | EOS[Info][LogEOS] [Boot] EOSSDK Platform Properties [OS=Windows/10.0.22621.3958.64bit, ClientId=xyza7891MeqnabfHg2uauS6yhojXkHbu, ProductId=4a11943b3c0f41fdb75cb15ba7c895a4, SandboxId=a4977aac967e4e2c827336f074c82d64, DeploymentId=a7892ff160714eed819f5e81cb863482, ProductName=TMNT, ProductVersion=1.0.0.0, IsServer=false, Flags=None]
00:00:00.731 - Paris.Engine.EpicHelper.EpicLogMessage : INFO | EOS[Info][LogEOSAnalytics] Start Session (User: ...)
00:00:00.731 - Paris.Engine.EpicHelper.EpicLogMessage : INFO | EOS[Info][LogEOSOverlay] OverlayPath registry key found in HKCU
00:00:00.870 - Paris.Engine.EpicHelper.EpicLogMessage : INFO | EOS[Info][LogEOSOverlay] Overlay library loaded, version ++EOSSDK+Release-Overlay-CL-34031348
00:00:00.870 - Paris.Engine.EpicHelper.EpicLogMessage : INFO | EOS[Info][LogEOSOverlay] Beginning dxgi factory detour
00:00:00.870 - Paris.Engine.EpicHelper.EpicLogMessage : INFO | EOS[Info][LogEOSOverlay] Factory detour complete
00:00:00.870 - Paris.Engine.EpicHelper.EpicLogMessage : INFO | EOS[Info][LogEOSOverlay] Beginning swap chain detour
00:00:00.870 - Paris.Engine.EpicHelper.EpicLogMessage : INFO | EOS[Info][LogEOSOverlay] Attempting to create swap chain using D3D11
00:00:00.870 - Paris.Engine.EpicHelper.EpicLogMessage : INFO | EOS[Info][LogEOSOverlay] Successfully created swap chain using D3D11 with feature level b000
00:00:00.870 - Paris.Engine.EpicHelper.EpicLogMessage : INFO | EOS[Info][LogEOSOverlay] Swapchain detour complete
00:00:00.870 - Paris.Engine.EpicHelper.EpicLogMessage : INFO | EOS[Info][LogEOSOverlay] Overlay loaded and initialized
00:00:00.870 - Paris.Engine.EpicHelper.EpicLogMessage : INFO | EOS[Warning][LogEOSUI] Hot key event ignored because there are no known users.
